服务器,服务器地理位置,服务器端口,客户端,客户端地理位置,TCP/UDP,应用,协议,总字节数,每秒字节数,客户端字节数,服务器字节数,总数据包,每秒数据包数,比特率,客户端比特率,服务器比特率,客户端数据包数,服务器数据包数,会话开始时间,会话持续时间,TCP同步包,TCP同步确认包,客户端TCP重置包,服务器TCP重置包,三次握手次数,三次握手平均时间,客户端平均ACK时延,服务器平均ACK时延,三次握手平均客户端RTT,三次握手平均服务器RTT,客户端三次握手总时延,服务器三次握手总时延,TCP交易请求次数,TCP交易响应次数,服务器总响应时间,客户端请求平均传输时间,服务器响应平均传输时间,会话总数,活动会话数,客户端字节数（有效载荷）,客户端数据包数（有效载荷）,服务器字节数（有效载荷）,服务器数据包数（有效载荷）,客户端TCP重传包,服务器TCP重传包,客户端TCP结束包,服务器TCP结束包,TCP三次握手客户端确认包,TCP乱序包数,客户端TCP乱序包数,服务器TCP乱序包数,创建会话数,关闭会话数,每秒创建会话数,每秒关闭会话数,TCP重传包,每秒活动会话数,连接建立无响应次数,连接无响应率,TCP重置包
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7077E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7077E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7076E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7076E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7076E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7076E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7077E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7077E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7076E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7077E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
